Arquivo,Descrição
cpu/kinetis_common/spi.c,1 
sys/net/routing/aodvv2,1 
sys/net/routing/aodvv2/aodv.c,1 
sys/net/network_layer/fib,1 
sys/net/network_layer/fib/fib.c,1 
tests/unittests/tests-fib,1 
tests/unittests/tests-fib/tests-fib.c,1 
tests/unittests/tests-crypto,3 
cpu/lm4f120,1 
cpu/lm4f120/periph,1 
cpu/lm4f120/periph/timer.c,1 
cpu/lm4f120/periph/uart.c,1 
cpu/lm4f120/cpu.c,1 
cpu/lm4f120/vectors.c,1 
cpu/kinetis/periph,1 
cpu/kinetis/periph/gpio.c,1 
cpu/kinetis/periph/timer.c,1 
cpu/kinetis/vectors.c,1 
dist/tools/tunslip,1 
dist/tools/tunslip/tunslip6.c,1 
boards/mulle,1 
boards/mulle/board.c,1 
tests/xtimer_drift,1 
tests/xtimer_drift/main.c,1 
tests/driver_bh1750,1 
tests/driver_bh1750/main.c,1 
cpu/cc2538/periph/spi.c,1 
cpu/msp430_common,3 
cpu/mips_pic32_common,2 
cpu/mips_pic32_common/periph,2 
cpu/msp430_common/periph,1 
pkg/openthread,2 
pkg/openthread/contrib,2 
tests/unittests/tests-gcoap,1 
tests/unittests/tests-gcoap/tests-gcoap.c,1 
tests/unittests/tests-nanocoap/tests-nanocoap.c,1 
examples/gcoap/gcoap_cli.c,1 
sys/hashes,3 
sys/net/gnrc/transport_layer/tcp,1 
sys/net/gnrc/transport_layer/tcp/gnrc_tcp_eventloop.c,1 
sys/net/gnrc/transport_layer/tcp/gnrc_tcp.c,1 
sys/net/gnrc/transport_layer/tcp/gnrc_tcp_pkt.c,1 
sys/net/gnrc/transport_layer/tcp/gnrc_tcp_fsm.c,1 
sys/can,2 
cpu/stm32_common/periph/uart.c,1 
tests/driver_at/main.c,1 
sys/net/gnrc/link_layer/gomach,2 
cpu/efm32,3 
cpu/efm32/cpu.c,1 
cpu/efm32/periph,3 
cpu/efm32/periph/i2c.c,1 
cpu/esp8266,3 
drivers/rn2xx3,3 
drivers/kw41zrf,1 
tests/bench_timers,1 
sys/auto_init/saul/auto_init_si70xx.c,1 
sys/auto_init/saul/auto_init_bmp180.c,1 
sys/auto_init/saul/auto_init_tsl2561.c,1 
cpu/stm32_common/periph/flashpage.c,2 
cpu/stm32l4/vectors.c,1 
cpu/fe310,2 
cpu/stm32/cpu_common.c,1 
cpu/stm32/cpu_init.c,1 
cpu/stm32/periph,5 
